Ticker,Close_Price,Date_Price
1INCHUSDT,2.534,2022-01-01
1INCHUSDT,2.554,2022-01-02
1INCHUSDT,2.562,2022-01-03
1INCHUSDT,2.478,2022-01-04
1INCHUSDT,2.321,2022-01-05
1INCHUSDT,2.347,2022-01-06
1INCHUSDT,2.184,2022-01-07
1INCHUSDT,2.127,2022-01-08
1INCHUSDT,2.151,2022-01-09
1INCHUSDT,2.077,2022-01-10
1INCHUSDT,2.148,2022-01-11
1INCHUSDT,2.247,2022-01-12
1INCHUSDT,2.346,2022-01-13
1INCHUSDT,2.37,2022-01-14
1INCHUSDT,2.386,2022-01-15
1INCHUSDT,2.435,2022-01-16
1INCHUSDT,2.242,2022-01-17
1INCHUSDT,2.189,2022-01-18
1INCHUSDT,2.089,2022-01-19
1INCHUSDT,2.036,2022-01-20
1INCHUSDT,1.842,2022-01-21
1INCHUSDT,1.613,2022-01-22
1INCHUSDT,1.691,2022-01-23
1INCHUSDT,1.585,2022-01-24
1INCHUSDT,1.593,2022-01-25
1INCHUSDT,1.629,2022-01-26
1INCHUSDT,1.588,2022-01-27
1INCHUSDT,1.647,2022-01-28
1INCHUSDT,1.713,2022-01-29
1INCHUSDT,1.662,2022-01-30
1INCHUSDT,1.682,2022-01-31
1INCHUSDT,1.706,2022-02-01
1INCHUSDT,1.631,2022-02-02
1INCHUSDT,1.66,2022-02-03
1INCHUSDT,1.764,2022-02-04
1INCHUSDT,1.787,2022-02-05
1INCHUSDT,1.859,2022-02-06
1INCHUSDT,1.94,2022-02-07
1INCHUSDT,1.859,2022-02-08
1INCHUSDT,1.923,2022-02-09
1INCHUSDT,1.799,2022-02-10
1INCHUSDT,1.717,2022-02-11
1INCHUSDT,1.691,2022-02-12
1INCHUSDT,1.657,2022-02-13
1INCHUSDT,1.697,2022-02-14
1INCHUSDT,1.798,2022-02-15
1INCHUSDT,1.8,2022-02-16
1INCHUSDT,1.659,2022-02-17
1INCHUSDT,1.582,2022-02-18
1INCHUSDT,1.581,2022-02-19
1INCHUSDT,1.486,2022-02-20
1INCHUSDT,1.365,2022-02-21
1INCHUSDT,1.422,2022-02-22
1INCHUSDT,1.383,2022-02-23
1INCHUSDT,1.34,2022-02-24
1INCHUSDT,1.451,2022-02-25
1INCHUSDT,1.435,2022-02-26
1INCHUSDT,1.384,2022-02-27
1INCHUSDT,1.504,2022-02-28
1INCHUSDT,1.521,2022-03-01
1INCHUSDT,1.497,2022-03-02
1INCHUSDT,1.437,2022-03-03
1INCHUSDT,1.348,2022-03-04
1INCHUSDT,1.358,2022-03-05
1INCHUSDT,1.303,2022-03-06
1INCHUSDT,1.272,2022-03-07
1INCHUSDT,1.297,2022-03-08
1INCHUSDT,1.376,2022-03-09
1INCHUSDT,1.374,2022-03-10
1INCHUSDT,1.319,2022-03-11
1INCHUSDT,1.332,2022-03-12
1INCHUSDT,1.309,2022-03-13
1INCHUSDT,1.335,2022-03-14
1INCHUSDT,1.353,2022-03-15
1INCHUSDT,1.509,2022-03-16
1INCHUSDT,1.482,2022-03-17
1INCHUSDT,1.588,2022-03-18
1INCHUSDT,1.633,2022-03-19
1INCHUSDT,1.557,2022-03-20
1INCHUSDT,1.531,2022-03-21
1INCHUSDT,1.547,2022-03-22
1INCHUSDT,1.614,2022-03-23
1INCHUSDT,1.63,2022-03-24
1INCHUSDT,1.572,2022-03-25
1INCHUSDT,1.626,2022-03-26
1INCHUSDT,1.747,2022-03-27
1INCHUSDT,1.724,2022-03-28
1INCHUSDT,1.793,2022-03-29
1INCHUSDT,1.84,2022-03-30
1INCHUSDT,1.777,2022-03-31
1INCHUSDT,1.886,2022-04-01
1INCHUSDT,1.923,2022-04-02
1INCHUSDT,1.979,2022-04-03
1INCHUSDT,1.9,2022-04-04
1INCHUSDT,1.837,2022-04-05
1INCHUSDT,1.602,2022-04-06
1INCHUSDT,1.659,2022-04-07
1INCHUSDT,1.577,2022-04-08
1INCHUSDT,1.663,2022-04-09
1INCHUSDT,1.586,2022-04-10
1INCHUSDT,1.461,2022-04-11
1INCHUSDT,1.515,2022-04-12
1INCHUSDT,1.55,2022-04-13
1INCHUSDT,1.515,2022-04-14
1INCHUSDT,1.519,2022-04-15
1INCHUSDT,1.512,2022-04-16
1INCHUSDT,1.461,2022-04-17
1INCHUSDT,1.494,2022-04-18
1INCHUSDT,1.541,2022-04-19
1INCHUSDT,1.543,2022-04-20
1INCHUSDT,1.492,2022-04-21
1INCHUSDT,1.475,2022-04-22
1INCHUSDT,1.443,2022-04-23
1INCHUSDT,1.419,2022-04-24
1INCHUSDT,1.417,2022-04-25
1INCHUSDT,1.288,2022-04-26
1INCHUSDT,1.322,2022-04-27
1INCHUSDT,1.304,2022-04-28
1INCHUSDT,1.26,2022-04-29
1INCHUSDT,1.119,2022-04-30
1INCHUSDT,1.16,2022-05-01
1INCHUSDT,1.176,2022-05-02
1INCHUSDT,1.17,2022-05-03
1INCHUSDT,1.285,2022-05-04
1INCHUSDT,1.288,2022-05-05
1INCHUSDT,1.355,2022-05-06
1INCHUSDT,1.303,2022-05-07
1INCHUSDT,1.301,2022-05-08
1INCHUSDT,1.011,2022-05-09
1INCHUSDT,1.043,2022-05-10
1INCHUSDT,1.015,2022-05-11
1INCHUSDT,0.81,2022-05-12
1INCHUSDT,0.915,2022-05-13
1INCHUSDT,0.941,2022-05-14
1INCHUSDT,0.979,2022-05-15
1INCHUSDT,0.923,2022-05-16
1INCHUSDT,0.96,2022-05-17
1INCHUSDT,0.906,2022-05-18
1INCHUSDT,0.931,2022-05-19
1INCHUSDT,0.915,2022-05-20
1INCHUSDT,0.963,2022-05-21
1INCHUSDT,0.997,2022-05-22
1INCHUSDT,0.954,2022-05-23
1INCHUSDT,0.995,2022-05-24
1INCHUSDT,0.968,2022-05-25
1INCHUSDT,0.914,2022-05-26
1INCHUSDT,0.898,2022-05-27
1INCHUSDT,0.916,2022-05-28
1INCHUSDT,0.921,2022-05-29
1INCHUSDT,1.005,2022-05-30
1INCHUSDT,0.969,2022-05-31
1INCHUSDT,0.951,2022-06-01
1INCHUSDT,0.933,2022-06-02
1INCHUSDT,0.874,2022-06-03
1INCHUSDT,0.87,2022-06-04
1INCHUSDT,0.859,2022-06-05
1INCHUSDT,0.875,2022-06-06
1INCHUSDT,0.846,2022-06-07
1INCHUSDT,0.817,2022-06-08
1INCHUSDT,0.803,2022-06-09
1INCHUSDT,0.758,2022-06-10
1INCHUSDT,0.695,2022-06-11
1INCHUSDT,0.651,2022-06-12
1INCHUSDT,0.6,2022-06-13
1INCHUSDT,0.593,2022-06-14
1INCHUSDT,0.631,2022-06-15
1INCHUSDT,0.577,2022-06-16
1INCHUSDT,0.591,2022-06-17
1INCHUSDT,0.553,2022-06-18
1INCHUSDT,0.58,2022-06-19
1INCHUSDT,0.686,2022-06-20
1INCHUSDT,0.691,2022-06-21
1INCHUSDT,0.688,2022-06-22
1INCHUSDT,0.713,2022-06-23
1INCHUSDT,0.754,2022-06-24
1INCHUSDT,0.729,2022-06-25
1INCHUSDT,0.692,2022-06-26
1INCHUSDT,0.673,2022-06-27
1INCHUSDT,0.742,2022-06-28
1INCHUSDT,0.709,2022-06-29
1INCHUSDT,0.695,2022-06-30
1INCHUSDT,0.654,2022-07-01
1INCHUSDT,0.637,2022-07-02
1INCHUSDT,0.628,2022-07-03
1INCHUSDT,0.638,2022-07-04
1INCHUSDT,0.622,2022-07-05
1INCHUSDT,0.626,2022-07-06
1INCHUSDT,0.644,2022-07-07
1INCHUSDT,0.688,2022-07-08
1INCHUSDT,0.696,2022-07-09
1INCHUSDT,0.64,2022-07-10
1INCHUSDT,0.591,2022-07-11
1INCHUSDT,0.56,2022-07-12
1INCHUSDT,0.594,2022-07-13
1INCHUSDT,0.616,2022-07-14
1INCHUSDT,0.653,2022-07-15
1INCHUSDT,0.667,2022-07-16
1INCHUSDT,0.646,2022-07-17
1INCHUSDT,0.718,2022-07-18
1INCHUSDT,0.736,2022-07-19
1INCHUSDT,0.677,2022-07-20
1INCHUSDT,0.688,2022-07-21
1INCHUSDT,0.661,2022-07-22
1INCHUSDT,0.68,2022-07-23
1INCHUSDT,0.675,2022-07-24
1INCHUSDT,0.623,2022-07-25
1INCHUSDT,0.636,2022-07-26
1INCHUSDT,0.694,2022-07-27
1INCHUSDT,0.773,2022-07-28
1INCHUSDT,0.76,2022-07-29
1INCHUSDT,0.766,2022-07-30
1INCHUSDT,0.762,2022-07-31
1INCHUSDT,0.77,2022-08-01
1INCHUSDT,0.742,2022-08-02
1INCHUSDT,0.766,2022-08-03
1INCHUSDT,0.799,2022-08-04
1INCHUSDT,0.832,2022-08-05
1INCHUSDT,0.808,2022-08-06
1INCHUSDT,0.806,2022-08-07
1INCHUSDT,0.837,2022-08-08
1INCHUSDT,0.808,2022-08-09
1INCHUSDT,0.882,2022-08-10
1INCHUSDT,0.864,2022-08-11
1INCHUSDT,0.88,2022-08-12
1INCHUSDT,0.873,2022-08-13
1INCHUSDT,0.84,2022-08-14
1INCHUSDT,0.82,2022-08-15
1INCHUSDT,0.818,2022-08-16
1INCHUSDT,0.773,2022-08-17
1INCHUSDT,0.733,2022-08-18
1INCHUSDT,0.677,2022-08-19
1INCHUSDT,0.674,2022-08-20
1INCHUSDT,0.7,2022-08-21
1INCHUSDT,0.7,2022-08-22
1INCHUSDT,0.725,2022-08-23
1INCHUSDT,0.723,2022-08-24
1INCHUSDT,0.744,2022-08-25
1INCHUSDT,0.661,2022-08-26
1INCHUSDT,0.652,2022-08-27
1INCHUSDT,0.631,2022-08-28
1INCHUSDT,0.671,2022-08-29
1INCHUSDT,0.653,2022-08-30
1INCHUSDT,0.662,2022-08-31
1INCHUSDT,0.668,2022-09-01
1INCHUSDT,0.713,2022-09-02
1INCHUSDT,0.687,2022-09-03
1INCHUSDT,0.673,2022-09-04
1INCHUSDT,0.663,2022-09-05
1INCHUSDT,0.608,2022-09-06
1INCHUSDT,0.631,2022-09-07
1INCHUSDT,0.638,2022-09-08
1INCHUSDT,0.657,2022-09-09
1INCHUSDT,0.657,2022-09-10
1INCHUSDT,0.649,2022-09-11
1INCHUSDT,0.647,2022-09-12
1INCHUSDT,0.594,2022-09-13
1INCHUSDT,0.613,2022-09-14
1INCHUSDT,0.592,2022-09-15
1INCHUSDT,0.616,2022-09-16
1INCHUSDT,0.627,2022-09-17
1INCHUSDT,0.571,2022-09-18
1INCHUSDT,0.595,2022-09-19
1INCHUSDT,0.599,2022-09-20
1INCHUSDT,0.562,2022-09-21
1INCHUSDT,0.592,2022-09-22
1INCHUSDT,0.609,2022-09-23
1INCHUSDT,0.606,2022-09-24
1INCHUSDT,0.6,2022-09-25
1INCHUSDT,0.625,2022-09-26
1INCHUSDT,0.607,2022-09-27
1INCHUSDT,0.585,2022-09-28
1INCHUSDT,0.585,2022-09-29
1INCHUSDT,0.576,2022-09-30
1INCHUSDT,0.574,2022-10-01
1INCHUSDT,0.553,2022-10-02
1INCHUSDT,0.573,2022-10-03
1INCHUSDT,0.585,2022-10-04
1INCHUSDT,0.585,2022-10-05
1INCHUSDT,0.574,2022-10-06
1INCHUSDT,0.614,2022-10-07
1INCHUSDT,0.6,2022-10-08
1INCHUSDT,0.608,2022-10-09
1INCHUSDT,0.575,2022-10-10
1INCHUSDT,0.563,2022-10-11
1INCHUSDT,0.569,2022-10-12
1INCHUSDT,0.563,2022-10-13
1INCHUSDT,0.56,2022-10-14
1INCHUSDT,0.562,2022-10-15
1INCHUSDT,0.569,2022-10-16
1INCHUSDT,0.576,2022-10-17
1INCHUSDT,0.57,2022-10-18
1INCHUSDT,0.566,2022-10-19
1INCHUSDT,0.563,2022-10-20
1INCHUSDT,0.568,2022-10-21
1INCHUSDT,0.571,2022-10-22
1INCHUSDT,0.58,2022-10-23
1INCHUSDT,0.566,2022-10-24
1INCHUSDT,0.582,2022-10-25
1INCHUSDT,0.61,2022-10-26
1INCHUSDT,0.595,2022-10-27
1INCHUSDT,0.614,2022-10-28
1INCHUSDT,0.625,2022-10-29
1INCHUSDT,0.614,2022-10-30
1INCHUSDT,0.612,2022-10-31
1INCHUSDT,0.607,2022-11-01
1INCHUSDT,0.59,2022-11-02
1INCHUSDT,0.608,2022-11-03
1INCHUSDT,0.653,2022-11-04
1INCHUSDT,0.646,2022-11-05
1INCHUSDT,0.634,2022-11-06
1INCHUSDT,0.635,2022-11-07
1INCHUSDT,0.555,2022-11-08
1INCHUSDT,0.529,2022-11-09
1INCHUSDT,0.57,2022-11-10
1INCHUSDT,0.56,2022-11-11
1INCHUSDT,0.508,2022-11-12
1INCHUSDT,0.521,2022-11-13
1INCHUSDT,0.516,2022-11-14
1INCHUSDT,0.531,2022-11-15
1INCHUSDT,0.522,2022-11-16
1INCHUSDT,0.516,2022-11-17
1INCHUSDT,0.529,2022-11-18
1INCHUSDT,0.538,2022-11-19
1INCHUSDT,0.504,2022-11-20
1INCHUSDT,0.503,2022-11-21
1INCHUSDT,0.537,2022-11-22
1INCHUSDT,0.546,2022-11-23
1INCHUSDT,0.527,2022-11-24
1INCHUSDT,0.518,2022-11-25
1INCHUSDT,0.52,2022-11-26
1INCHUSDT,0.52,2022-11-27
1INCHUSDT,0.516,2022-11-28
1INCHUSDT,0.519,2022-11-29
1INCHUSDT,0.527,2022-11-30
1INCHUSDT,0.51,2022-12-01
1INCHUSDT,0.504,2022-12-02
1INCHUSDT,0.487,2022-12-03
1INCHUSDT,0.497,2022-12-04
1INCHUSDT,0.484,2022-12-05
1INCHUSDT,0.476,2022-12-06
1INCHUSDT,0.444,2022-12-07
1INCHUSDT,0.447,2022-12-08
1INCHUSDT,0.441,2022-12-09
1INCHUSDT,0.443,2022-12-10
1INCHUSDT,0.435,2022-12-11
1INCHUSDT,0.431,2022-12-12
1INCHUSDT,0.442,2022-12-13
1INCHUSDT,0.432,2022-12-14
1INCHUSDT,0.424,2022-12-15
1INCHUSDT,0.385,2022-12-16
1INCHUSDT,0.389,2022-12-17
1INCHUSDT,0.39,2022-12-18
1INCHUSDT,0.382,2022-12-19
1INCHUSDT,0.404,2022-12-20
1INCHUSDT,0.399,2022-12-21
1INCHUSDT,0.397,2022-12-22
1INCHUSDT,0.398,2022-12-23
1INCHUSDT,0.399,2022-12-24
1INCHUSDT,0.398,2022-12-25
1INCHUSDT,0.405,2022-12-26
1INCHUSDT,0.401,2022-12-27
1INCHUSDT,0.384,2022-12-28
1INCHUSDT,0.382,2022-12-29
1INCHUSDT,0.376,2022-12-30
1INCHUSDT,0.383,2022-12-31
AAPL,179.95388793945312,2022-01-03
AAPL,177.66998291015625,2022-01-04
AAPL,172.94400024414062,2022-01-05
AAPL,170.05697631835938,2022-01-06
AAPL,170.22506713867188,2022-01-07
AAPL,170.24484252929688,2022-01-10
AAPL,173.1021728515625,2022-01-11
AAPL,173.54708862304688,2022-01-12
AAPL,170.24484252929688,2022-01-13
AAPL,171.1149139404297,2022-01-14
AAPL,167.8818359375,2022-01-18
AAPL,164.35214233398438,2022-01-19
AAPL,162.65158081054688,2022-01-20
AAPL,160.57530212402344,2022-01-21
AAPL,159.79421997070312,2022-01-24
AAPL,157.97499084472656,2022-01-25
AAPL,157.88604736328125,2022-01-26
AAPL,157.4213409423828,2022-01-27
AAPL,168.4058380126953,2022-01-28
AAPL,172.80555725097656,2022-01-31
AAPL,172.6374969482422,2022-02-01
AAPL,173.8535919189453,2022-02-02
AAPL,170.94679260253906,2022-02-03
AAPL,170.65972900390625,2022-02-04
AAPL,169.93707275390625,2022-02-07
AAPL,173.0752410888672,2022-02-08
AAPL,174.51068115234375,2022-02-09
AAPL,170.39242553710938,2022-02-10
AAPL,166.94737243652344,2022-02-11
AAPL,167.18495178222656,2022-02-14
AAPL,171.05569458007812,2022-02-15
AAPL,170.818115234375,2022-02-16
AAPL,167.18495178222656,2022-02-17
AAPL,165.6208038330078,2022-02-18
AAPL,162.67071533203125,2022-02-22
AAPL,158.46339416503906,2022-02-23
AAPL,161.1065673828125,2022-02-24
AAPL,163.19540405273438,2022-02-25
AAPL,163.4626922607422,2022-02-28
AAPL,161.56195068359375,2022-03-01
AAPL,164.88824462890625,2022-03-02
AAPL,164.56155395507812,2022-03-03
AAPL,161.5322723388672,2022-03-04
AAPL,157.70111083984375,2022-03-07
AAPL,155.85977172851562,2022-03-08
AAPL,161.31446838378906,2022-03-09
AAPL,156.928955078125,2022-03-10
AAPL,153.17697143554688,2022-03-11
AAPL,149.1082305908203,2022-03-14
AAPL,153.53335571289062,2022-03-15
AAPL,157.98818969726562,2022-03-16
AAPL,159.00784301757812,2022-03-17
AAPL,162.33413696289062,2022-03-18
AAPL,163.7200927734375,2022-03-21
AAPL,167.12557983398438,2022-03-22
AAPL,168.50161743164062,2022-03-23
AAPL,172.3228759765625,2022-03-24
AAPL,172.9663543701172,2022-03-25
AAPL,173.8375244140625,2022-03-28
AAPL,177.16375732421875,2022-03-29
AAPL,175.98574829101562,2022-03-30
AAPL,172.85743713378906,2022-03-31
